d,eta,N_needed
-99751,0.400476249866,3
-99748,0.390077567834,3
-99743,0.626085846761,4
-99739,0.6421986378929999,4
-99736,0.292488027156,3
-99735,0.5895057863209999,4
-99732,0.254764212738,3
-99731,0.318118478568,3
-99727,0.424371854633,3
-99723,0.218047319606,3
-99719,0.522240653176,3
-99716,0.361073684358,3
-99707,0.579029077231,4
-99703,0.445737380194,3
-99699,0.339668786774,3
-99695,0.425068842639,3
-99691,0.310330391091,3
-99688,0.298935198153,3
-99687,0.587725001209,3
-99683,0.213730466134,3
-99679,0.7315375393639999,4
-99672,0.376444468605,3
-99671,0.6758505319979999,4
-99668,0.446756525184,3
-99667,0.22741322796900001,3
-99663,0.375044948361,3
-99659,0.446965682631,4
-99656,0.389542651213,3
-99655,0.7497992680179999,4
-99652,0.198874555125,3
-99651,0.638593599801,4
-99647,0.240342246808,3
-99643,0.320602984897,3
-99640,0.0795409346485,3
-99635,0.6232880224159999,4
-99631,0.5554784034289999,4
-99627,0.375968274249,3
-99624,0.432493102307,3
-99623,0.5614598449799999,4
-99620,0.6333001265679999,4
-99619,0.207650525021,3
-99615,0.578433578395,4
-99611,0.519662731193,4
-99608,0.452025355865,3
-99607,0.424247950416,3
-99604,0.28013699643,3
-99599,0.6082636956849999,4
-99595,0.36735321798,3
-99592,0.368899051315,3
-99591,0.51039249385,3
-99588,0.455915045007,3
-99587,0.543324658179,4
-99579,0.351305800672,3
-99572,0.326937787336,3
-99571,0.5718701562449999,4
-99563,0.5383852627229999,4
-99560,0.375136544608,3
-99559,0.316414798712,3
-99556,0.503446182977,3
-99555,0.381550787305,3
-99551,0.747224525279,4
-99547,0.320793308178,3
-99544,0.41132411863,3
-99543,0.448435061292,3
-99539,0.6649983945929999,4
-99535,0.398897471319,3
-99528,0.160109290065,3
-99527,0.642027299915,4
-99524,0.669479646583,4
-99523,0.356116048888,3
-99515,0.366316660765,3
-99512,0.393870907729,3
-99511,0.400910657891,3
-99508,0.443427613827,3
-99507,0.349976828709,3
-99503,0.8189073027529999,4
-99499,0.259341613812,3
-99496,0.5389394294509999,4
-99492,0.5563447514309999,3
-99491,0.49127735194,4
-99487,0.326013833138,3
-99483,0.223395754653,3
-99480,0.5487923943559999,4
-99479,0.638713451135,4
-99476,0.486847868373,4
-99471,0.589467474353,4
-99467,0.356005004248,3
-99464,0.504880144651,4
-99463,0.323319474183,3
-99460,0.141743134491,3
-99455,0.352806070512,3
-99451,0.327349313756,3
-99448,0.531163405831,4
-99447,0.458611954814,3
-99444,0.30811223419,3
-99443,0.322650407912,3
-99439,0.475876542747,3
-99435,0.576799433112,4
-99431,0.670723615308,4
-99428,0.562102451213,4
-99427,0.172184464621,3
-99419,0.249377527134,3
-99415,0.5570468892989999,3
-99412,0.313847264131,3
-99411,0.39446272065,3
-99407,0.724087447612,4
-99403,0.596992479983,4
-99399,0.733247259127,4
-99395,0.241912187254,3
-99391,0.671081346503,4
-99384,0.642206055717,4
-99383,0.341404294887,3
-99380,0.529070838919,4
-99379,0.361658347879,3
-99371,0.5760444152619999,4
-99368,0.347033265395,3
-99367,0.126625644919,3
-99364,0.5089815944799999,4
-99363,0.470538787242,4
-99359,0.7101651720309999,4
-99355,0.268772571006,3
-99352,0.218441377484,3
-99348,0.207373736865,3
-99347,0.7723342486189999,4
-99343,0.10734096436400001,3
-99339,0.225695622402,3
-99336,0.496808756869,4
-99335,0.8129317596,4
-99332,0.356698583278,3
-99331,0.195161286399,3
-99327,0.376609961561,3
-99320,0.453243601849,3
-99319,0.574512428961,4
-99316,0.6353123857049999,4
-99311,0.519585411858,3
-99307,0.363622528542,3
-99304,0.489652547135,4
-99303,0.414703786701,3
-99299,0.534710539985,4
-99295,0.342350310427,3
-99291,0.16301170969,3
-99287,0.463892340679,3
-99284,0.599576997869,4
-99283,0.306584641325,3
-99272,0.547549191025,4
-99271,0.6493379936849999,4
-99268,0.131385325264,3
-99267,0.315252101677,3
-99263,0.558995359852,4
-99259,0.603412092846,4
-99256,0.538475785731,4
-99255,0.53763837896,3
-99251,0.513107006679,4
-99247,0.141550039803,3
-99240,0.41185647664,3
-99239,0.7990568626469999,4
-99236,0.210068141067,3
-99235,0.138726577513,3
-99231,0.7110492188259999,4
-99227,0.5637697468039999,4
-99224,0.284274602933,3
-99223,0.17071747898200001,3
-99219,0.268843164003,3
-99215,0.568087212092,4
-99211,0.41455864276800003,4
-99208,0.16106084654,3
-99204,0.6093365253649999,4
-99199,0.6343259637619999,4
-99195,0.448031416651,4
-99192,0.243671044559,3
-99191,0.6120206591609999,4
-99188,0.344831539817,3
-99187,0.439632701453,3
-99183,0.335177352646,3
-99172,0.342667407547,3
-99167,0.750044470778,4
-99163,0.352063270799,3
-99160,0.604963868424,4
-99159,0.41360062375,3
-99156,0.420431106837,3
-99155,0.23202477843,3
-99151,0.5767575789649999,4
-99147,0.205678336758,3
-99143,0.305697005895,3
-99140,0.41854561341,3
-99139,0.313325867646,3
-99131,0.395900036861,3
-99128,0.530406453509,3
-99124,0.287969996146,3
-99123,0.435451841163,4
-99119,0.660829837909,4
-99115,0.326456480614,3
-99112,0.311490505659,3
-99111,0.584681835852,4
-99107,0.444313886352,3
-99103,0.29604614722,3
-99096,0.27614333069,3
-99095,0.896303695994,5
-99092,0.194818166291,3
-99091,0.338743047568,3
-99087,0.48514757149,3
-99083,0.344107259269,3
-99080,0.347863246153,3
-99079,0.554510408923,4
-99076,0.618778219867,4
-99071,0.498920038191,3
-99067,0.248424580947,3
-99064,0.153231489104,3
-99060,0.605542143483,4
-99059,0.5720889141569999,4
-99055,0.5892673507659999,4
-99051,0.469928327729,4
-99048,0.5695589408739999,4
-99047,0.091301292543,3
-99044,0.5511555425039999,4
-99043,0.334613477651,3
-99039,0.51445960088,4
-99035,0.481305864786,4
-99032,0.28582878659100003,3
-99031,0.339490967358,3
-99028,0.266269191373,3
-99023,0.391184849161,3
-99019,0.245146841368,3
-99016,0.347563491328,3
-99015,0.408274881466,3
-99012,0.496351747854,3
-99011,0.6929515855509999,4
-99007,0.602895967695,4
-99003,0.232892579751,3
-98999,0.8762415487859999,5
-98996,0.348463334926,3
-98995,0.212359203076,3
-98987,0.346987201511,3
-98984,0.474723829034,3
-98979,0.5797734253289999,4
-98971,0.317967546524,4
-98968,0.156699195778,3
-98967,0.320961211831,3
-98963,0.131630716857,3
-98959,0.289076975335,3
-98952,0.19694515729,3
-98951,0.825984760973,4
-98948,0.338715740427,3
-98947,0.434777279194,3
-98943,0.5108849247489999,3
-98939,0.34447500631,3
-98936,0.62062249989,4
-98935,0.26679721984,3
-98932,0.317172925549,3
-98927,0.731997509093,4
-98920,0.420972411431,3
-98916,0.331052343952,3
-98915,0.440805618245,4
-98911,0.434956577027,3
-98907,0.460109466022,3
-98904,0.050937398062000004,3
-98903,0.6431102601259999,4
-98899,0.452260084758,4
-98895,0.381547164269,3
-98891,0.55898102609,4
-98888,0.6214714544259999,4
-98887,0.5176929027449999,3
-98884,0.352027838791,3
-98879,0.538313957305,4
-98872,0.290422650005,3
-98871,0.6443798813399999,4
-98868,0.382768701327,3
-98867,0.5193941116859999,4
-98863,0.247538250286,3
-98859,0.632219233801,4
-98855,0.518812787116,3
-98852,0.619058912452,4
-98851,0.338734115747,3
-98843,0.6079102791659999,4
-98840,0.405950084767,3
-98839,0.6046898897359999,4
-98836,0.5252741415279999,4
-98835,0.0634332278284,3
-98831,0.780932536173,4
-98827,0.15414247116,3
-98824,0.395515492838,3
-98823,0.5089002172039999,3
-98819,0.578632071636,4
-98815,0.487380014775,3
-98808,0.5876292222389999,4
-98807,0.248497470986,3
-98804,0.7397936806009999,4
-98803,0.294103946072,3
-98799,0.712781772519,4
-98795,0.186658471108,3
-98792,0.324766198616,3
-98791,0.5130073994669999,3
-98788,0.361997075843,3
-98787,0.403261682703,3
-98783,0.804667263523,4
-98779,0.446804115217,3
-98776,0.42008595219,3
-98772,0.178789395063,3
-98771,0.357250283256,3
-98767,0.246938599936,3
-98763,0.211047086811,3
-98760,0.424489990389,3
-98759,0.5284323776319999,4
-98756,0.440415274578,3
-98755,0.178703438875,3
-98751,0.464035058533,3
-98747,0.333422890597,3
-98744,0.687564847959,4
-98743,0.265199384396,3
-98740,0.334738465231,3
-98731,0.45185566362,4
-98728,0.0940056052577,3
-98727,0.5319191595889999,3
-98724,0.29364213411,3
-98723,0.552117165651,4
-98719,0.6841161322129999,4
-98715,0.299203701365,3
-98711,0.6010839035219999,4
-98708,0.0371858911873,3
-98707,0.28498596766,3
-98699,0.641420416965,4
-98695,0.26052680553700003,3
-98692,0.343939268037,3
-98691,0.379923327107,3
-98687,0.532913423848,3
-98683,0.289737371868,3
-98680,0.42361715141,3
-98679,0.549947304957,4
-98671,0.579906643185,4
-98664,0.463483264606,3
-98663,0.418120100359,3
-98660,0.352152435561,3
-98659,0.245227887417,3
-98655,0.27190368904,3
-98651,0.457091754842,4
-98648,0.296030219701,3
-98647,0.583829588376,4
-98644,0.5220399158019999,4
-98643,0.40456840879,3
-98639,0.566674638039,4
-98635,0.37074698285,3
-98632,0.5155677771399999,3
-98628,0.424187735842,3
-98627,0.117223201773,3
-98623,0.5167132904189999,3
-98619,0.368134084592,4
-98616,0.353207117566,3
-98612,0.35551876419,3
-98611,0.0783449537867,3
-98607,0.351466683226,3
-98603,0.253131384563,3
-98599,0.5859897173309999,4
-98591,0.7795376534309999,4
-98587,0.290751996211,3
-98584,0.5126455891549999,4
-98583,0.205987106721,3
-98580,0.35697639287,3
-98579,0.593992341563,4
-98571,0.262716585082,3
-98567,0.67426738573,4
-98564,0.5723110248659999,4
-98563,0.462785956442,4
-98555,0.469456828567,3
-98552,0.541595917496,4
-98551,0.565615492235,4
-98548,0.272145017665,3
-98547,0.33288008464,3
-98543,0.686477909361,4
-98536,0.29028791403,3
-98535,0.48801675572000003,3
-98531,0.769280236105,4
-98520,0.411931415668,3
-98519,0.5030395075149999,3
-98516,0.524335198566,4
-98515,0.284632590403,3
-98511,0.739851407111,4
-98507,0.352304179541,3
-98504,0.6537121957459999,4
-98503,0.521074306871,3
-98499,0.202541273582,3
-98495,0.461092324444,3
-98491,0.56498738883,4
-98488,0.301425562562,3
-98484,0.444151089466,3
-98483,0.356454042428,3
-98479,0.712066240065,4
-98472,0.279271611203,3
-98471,0.6611531064639999,4
-98468,0.711166060059,4
-98467,0.257132546049,3
-98463,0.259489950979,3
-98459,0.704300702565,4
-98456,0.446100281033,3
-98455,0.3669279028,3
-98452,0.310896018207,3
-98447,0.6229048260029999,4
-98443,0.198533924118,3
-98440,0.213603452239,3
-98439,0.803510048134,4
-98436,0.435542370492,3
-98435,0.402319575509,3
-98431,0.575847929404,4
-98427,0.370335476214,3
-98423,0.7313375879659999,4
-98420,0.397582925681,3
-98419,0.358678810213,4
-98411,0.710153583814,4
-98408,0.392007178757,3
-98407,0.220981337291,3
-98404,0.551959131646,4
-98403,0.253523428438,3
-98399,0.391527555156,3
-98395,0.130838745861,3
-98391,0.5787799516969999,4
-98387,0.401276680972,3
-98383,0.462307767929,3
-98376,0.40057002608,3
-98372,0.0777872607908,3
-98371,0.24239845096,3
-98367,0.583762039443,4
-98363,0.5561988081779999,4
-98360,0.154181663029,3
-98359,0.6488523725509999,4
-98356,0.218903215248,3
-98355,0.5586453182419999,4
-98351,0.304459154799,3
-98347,0.377475412469,3
-98344,0.5019140651799999,3
-98340,0.248434377591,3
-98339,0.6033529248299999,4
-98335,0.7740584279789999,4
-98331,0.358527133617,3
-98328,0.465728423595,3
-98327,0.5884578519879999,4
-98324,0.548698135387,4
-98323,0.421419492324,3
-98319,0.657551995612,4
-98312,0.240877420806,3
-98311,0.268930217918,3
-98308,0.147970435643,3
-98303,0.470406923791,3
-98299,0.339868355248,3
-98296,0.5347481395729999,4
-98295,0.249061946121,3
-98292,0.472381093859,4
-98291,0.223900708744,3
-98287,0.468296869932,3
-98279,0.721489297583,4
-98276,0.9560739309659999,5
-98267,0.468069783802,3
-98264,0.49157943985,4
-98263,0.472075399985,3
-98259,0.375785719197,3
-98255,0.515793427622,4
-98251,0.598200959003,4
-98248,0.248239292294,3
-98247,0.307728838894,3
-98243,0.445801015379,4
-98239,0.289874336611,3
-98232,0.447995583183,3
-98231,0.631940026853,4
-98228,0.360505205161,3
-98227,0.397014946656,4
-98223,0.317806966334,3
-98219,0.489542061636,4
-98216,0.610623788671,4
-98215,0.453478598455,3
-98212,0.239919899588,3
-98211,0.334757154137,3
-98207,0.684583768964,4
-98203,0.349728297591,3
-98195,0.354015003169,3
-98191,0.384679083942,3
-98187,0.368301692652,3
-98184,0.10941162594500001,3
-98183,0.509838469416,3
-98180,0.230876113226,3
-98179,0.050437307199000005,3
-98171,0.6861354765909999,4
-98168,0.212478884688,3
-98167,0.429450209886,3
-98164,0.480752768259,4
-98159,0.906297591713,5
-98155,0.365251412982,3
-98152,0.387314741851,3
-98151,0.364876605714,3
-98148,0.352179289538,3
-98143,0.119768235505,3
-98139,0.400436898437,4
-98135,0.399129693757,3
-98132,0.309259144571,3
-98123,0.166276843122,3
-98120,0.494718792577,3
-98119,0.327565972596,3
-98116,0.5286898691919999,4
-98115,0.618136158544,4
-98111,0.936133302694,5
-98107,0.280211468749,3
-98104,0.209841210659,3
-98103,0.465404459995,3
-98099,0.5287250063079999,4
-98095,0.443896045249,3
-98088,0.5381302931449999,3
-98087,0.5418736296929999,3
-98084,0.47695067008,4
-98083,0.352347980705,3
-98079,0.3714089479,3
-98072,0.543875957915,3
-98071,0.702348944816,4
-98068,0.535567881295,4
-98067,0.3490291909,3
-98063,0.344172836743,3
-98059,0.255865519956,3
-98056,0.456984658113,4
-98052,0.259187157056,3
-98051,0.368378777716,3
-98047,0.461593809651,3
-98043,0.5501959043619999,4
-98040,0.559950455853,4
-98039,0.7560195650379999,4
-98036,0.6058797073379999,4
